fioriId,RoleName,AppName,ApplicationType,UITechnology,BSPName,BSPApplicationURL,SAPUI5ComponentId,PrimaryODataServiceName,PrimaryODataServiceVersion,AdditionalODataServices,AdditionalODataServicesVersions,OData V4 Service Group,Link,
F0539,Project Logistics Controller,Change Network Activity Status,Transactional,SAP Fiori (SAPUI5),PS_ACTSTA_CHGS1,/sap/bc/ui5_ui5/sap/ps_actsta_chgs1,i2d.ps.activitystatus.change.s1,PS_NTWKACTVTSTATCHG_SRV,0001,SM_INTEGRATION_V2_SRV,0001,,https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F0539
F0540A,Project Logistics Controller,Product Component,Fact sheet,SAP Fiori elements,PS_RESVN_OVWS1,/sap/bc/ui5_ui5/sap/ps_resvn_ovws1,i2d.ps.projectreservation.overviews1,PS_PROJ_MAT_COMPONENT_SRV,0001,,,,https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F0540A
F0545A,Manager - Finance Info,My Inbox - Approve Supplier Invoice,Transactional,SAP Fiori: My Inbox,CA_FIORI_INBOX,/sap/bc/ui5_ui5/sap/ca_fiori_inbox,cross.fnd.fiori.inbox,/IWPGW/TASKPROCESSING,0002,,,,https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F0545A
F0547A,Purchaser,My Purchasing Document Items (S/4HANA),Transactional,SAP Fiori (SAPUI5),MM_PURDOC_LSTS1,/sap/bc/ui5_ui5/sap/mm_purdoc_lsts1,s2p.mmpur.purdocitems,ME2STAR_OD_SRV,0001,,,,https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F0547A
F0547B,Purchaser,My Purchasing Document Items,Transactional,SAP Fiori elements,MM_PURDOCITMS1,/sap/bc/ui5_ui5/sap/mm_purdocitms1,ui.s2p.mm.mypurgdocitems,MM_PUR_MYPURGDOCITEMS_SRV,0001,,,,https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F0547B
F0576A,Recipe Developer,Recipe Finder (S/4HANA),"Transactional, Analytical",SAP Fiori (SAPUI5),RECIPE_FINDERS1,/sap/bc/ui5_ui5/sap/recipe_finders1,i2d.plm.recipe.finders1,CA_FM_FEATURE_TOGGLE_STATUS_SRV,0001,PLMI_RECIPE_FINDER,0001,,https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F0576A
F0584,Employee - Travel Info,My Travel and Expenses,Transactional,SAP Fiori (SAPUI5),TRV_TE_CRE,,mytravelandexpense,PAOC_TRV_SRV,0001,,,,https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F0584
F0584A,Employee - Travel Info,My Travel and Expenses (Version 2),Transactional,SAP Fiori elements,TRV_TE_CRE_V2,,LPD_CUST,TRV_MTE_SRV,0001,,,,https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F0584A
F0584B,Travel Agent,Travel and Expenses for Travel Assistant,Transactional,SAP Fiori elements,FIN_TETA_CRE_S1,/sap/bc/ui5_ui5/sap/fin_teta_cre_s1,fin.travel.travelexpensess1,UI_TRVLEXPNARRANGERMNGV2,0001,,,,https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F0584B
F0586,Retail Store Associate,Adjust Stock,Transactional,SAP Fiori (SAPUI5),RT_STOCK_CORS1,/sap/bc/ui5_ui5/sap/rt_stock_cors1,retail.store.stockcorrections1,RETAILSTORE_STOCK_CORR_SRV,0001,,,,https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F0586
