FioriId;AppName;Link;MainServiceName;ServiceUri;ODataVersion;SEGWProject;ProgrammingModel;BusinessEntity;FPM_Extended
F6275;ReverseContractPostings;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F6275;APJ_JOB_MANAGEMENT_SRV;/sap/opu/odata/sap/APJ_JOB_MANAGEMENT_SRV;2.0;APJ_JOB_MANAGEMENT;N/A;;N/A
F6276;CancelValuationforContracts;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F6276;APJ_JOB_MANAGEMENT_SRV;/sap/opu/odata/sap/APJ_JOB_MANAGEMENT_SRV;2.0;APJ_JOB_MANAGEMENT;N/A;;N/A
F6277;PerformContractValuation;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F6277;APJ_JOB_MANAGEMENT_SRV;/sap/opu/odata/sap/APJ_JOB_MANAGEMENT_SRV;2.0;APJ_JOB_MANAGEMENT;N/A;;N/A
F6352;PostGoodsReceiptforProcessOrder;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F6352;MMIM_GR4PO_DL_SRV;/sap/opu/odata/sap/MMIM_GR4PO_DL_SRV;2.0;MMIM_GR4PO_DL;N/A;;N/A
F6511;MyOutbox;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F6511;TASKPROCESSING;/sap/opu/odata/IWPGW/TASKPROCESSING;2.0;;N/A;;N/A
F6635;ManageWorkflowsforCentralSupplierConfirmations;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F6635;SWF_FLEX_DEF_SRV;/sap/opu/odata/sap/SWF_FLEX_DEF_SRV;2.0;SWF_FLEX_DEF;N/A;;N/A
F6653;ManageIn-HouseBankApplicationJobs;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F6653;APJ_JOB_MANAGEMENT_SRV;/sap/opu/odata/sap/APJ_JOB_MANAGEMENT_SRV;2.0;APJ_JOB_MANAGEMENT;N/A;;N/A
F6783;ManageTeamsandResponsibilities-Intercompany;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F6783;CA_RSM_TEAM_SRV;/sap/opu/odata/sap/CA_RSM_TEAM_SRV;2.0;CA_RSM_TEAM;BOPF;I_RespyMgmtTeamHeaderTP;Yes
F6866;ScheduleJobsforBankStatementMonitor;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F6866;APJ_JOB_MANAGEMENT_SRV;/sap/opu/odata/sap/APJ_JOB_MANAGEMENT_SRV;2.0;APJ_JOB_MANAGEMENT;N/A;;N/A
F7014;ManageOutgoingChecksforChina;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F7014;FAP_OUTGOING_CHECKS_SRV;/sap/opu/odata/sap/FAP_OUTGOING_CHECKS_SRV;2.0;FAP_OUTGOING_CHECKS;N/A;;N/A
F7015;ManageCheckbooksforChina;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F7015;FAP_CHECK_BOOKS_SRV;/sap/opu/odata/sap/FAP_CHECK_BOOKS_SRV;2.0;FAP_CHECK_BOOKS;N/A;;N/A
F7031;MyInboxforConvergentInvoicing;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F7031;TASKPROCESSING;/sap/opu/odata/IWPGW/TASKPROCESSING;2.0;;N/A;;N/A
F7438;MyInbox-ApproveDebitMemoRequests;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F7438;TASKPROCESSING;/sap/opu/odata/IWPGW/TASKPROCESSING;2.0;;N/A;;N/A
F7440;MonitorJobsforModelProductSpecifications;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F7440;APJ_JOB_MANAGEMENT_SRV;/sap/opu/odata/sap/APJ_JOB_MANAGEMENT_SRV;2.0;APJ_JOB_MANAGEMENT;N/A;;N/A
F7446;SchedulejobforSubcontractingChallanCockpit;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F7446;;;;;N/A;;N/A
F7456;SchedulejobforSubcontractingChallanReconciliation;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F7456;APL_LOG_MANAGEMENT_SRV;/sap/opu/odata/sap/APL_LOG_MANAGEMENT_SRV;2.0;APL_LOG_MANAGEMENT;N/A;;N/A
F7648;SchedulePurposeDetermination;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F7648;APJ_JOB_MANAGEMENT_SRV;/sap/opu/odata/sap/APJ_JOB_MANAGEMENT_SRV;2.0;APJ_JOB_MANAGEMENT;N/A;;N/A
F7992;MyInbox-IncidentManagement;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F7992;TASKPROCESSING;/sap/opu/odata/IWPGW/TASKPROCESSING;2.0;;N/A;;N/A
F8053;ManageTeamsandResponsibilities-ForwardedJISCalls;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F8053;CA_RSM_TEAM_SRV;/sap/opu/odata/sap/CA_RSM_TEAM_SRV;2.0;CA_RSM_TEAM;BOPF;I_RespyMgmtTeamHeaderTP;Yes
